,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
IR,3.522711829147035,3.2731720599972336,-0.7693924551569093,-3.158835172622416,-2.2237583234260327,-14.669421999170053
SR,6.8758748550538025,5.768336849664949,-1.1946883887428974,-4.5128264567936105,-3.2319762387354016,-14.66942199917006
RTN,156.17774053091892,172.55945692644337,-27.17444088403144,-67.26582919971683,-50.238025001725575,-80.13878492057283
STD,20.801880413489776,25.443027270395287,25.465221913233528,26.05271061862478,20.619522284612756,10.937247158394005
