2018-01-02,
2018-01-03,-2.206757847928501
2018-01-04,-1.8866834260623397
2018-01-05,-2.6209175520507046
2018-01-08,-3.2517237480840886
2018-01-09,3.5836260835752927
2018-01-10,-0.021724109352381903
2018-01-11,-4.895929135630202
2018-01-12,-1.0153969571685377
2018-01-15,-2.4144400276026308
2018-01-16,-3.4435121861651097
2018-01-17,-1.4275969934359836
2018-01-18,-4.2661775534332085
2018-01-19,-2.352388845254435
2018-01-22,-4.461987620943554
2018-01-23,-6.8905956562178945
2018-01-24,-3.786830419614757
2018-01-25,0.05374163975192855
2018-01-26,-4.012932650588964
2018-01-29,-1.2442943817751717
2018-01-30,-7.368113617223971
2018-01-31,-6.04429468475201
2018-02-01,-0.435288545766962
2018-02-02,-2.3547314225262315
2018-02-05,-0.4021660386648706
2018-02-06,-1.7695102562906722
2018-02-07,-4.8861193358559
2018-02-08,-3.111232850922848
2018-02-09,-2.6074223878369454
2018-02-12,1.303922327287444
2018-02-13,-6.821963054350068
2018-02-14,-2.7697732260022248
2018-02-22,-0.4312455682929106
2018-02-23,-4.890338500792066
2018-02-26,0.44415816188966234
2018-02-27,-2.5214518573038145
2018-02-28,-1.7644765623420395
2018-03-01,-0.5795592960500824
2018-03-02,-2.93200993943125
2018-03-05,-5.636549655361893
2018-03-06,-1.7510590322394632
2018-03-07,-1.4644161700253706
2018-03-08,-0.38385332570993813
2018-03-09,-2.8641651599411837
2018-03-12,-3.802881574030162
2018-03-13,-0.1734628686831536
2018-03-14,-3.1258418799834264
2018-03-15,0.10359761916672902
2018-03-16,-4.910465609271586
2018-03-19,-3.4406778114613394
2018-03-20,-0.19705367029550347
2018-03-21,-5.5426542203509355
2018-03-22,-3.8706430550003064
2018-03-23,-1.5710177664668277
2018-03-26,-6.053466962588526
2018-03-27,-1.0265730068284007
2018-03-28,-3.1060818166799358
2018-03-29,-0.8665327648849663
2018-03-30,-2.446171923471795
2018-04-02,-3.493350446429238
2018-04-03,-7.694219632466856
2018-04-04,-5.945980630637974
2018-04-09,-1.4595895554479712
2018-04-10,-3.1288160978099993
2018-04-11,-1.0935044853260572
2018-04-12,2.286677063955062
2018-04-13,-0.47979082364006215
2018-04-16,-0.42124762123154924
2018-04-17,-4.310923881598022
2018-04-18,-4.7436875528858575
2018-04-19,1.6398346712163898
2018-04-20,-0.6233989661408691
2018-04-23,-3.529049339662324
2018-04-24,-2.5630968050164418
2018-04-25,-2.409330880303761
2018-04-26,0.09020627146541643
2018-04-27,-2.7437106883064066
2018-05-02,-2.6323072885388954
2018-05-03,-1.4159007013385574
2018-05-04,0.24344997958106887
2018-05-07,-5.089718331313445
2018-05-08,-4.141370632689774
2018-05-09,-2.310132011698441
2018-05-10,-1.4697783604881607
2018-05-11,-2.6360804437889565
2018-05-14,-4.228439122738368
2018-05-15,-1.2694767609187698
2018-05-16,-2.9003508926352795
2018-05-17,-1.6430768783738485
2018-05-18,-4.888656925009217
2018-05-21,-3.589910328306012
2018-05-22,-2.8942424516153125
2018-05-23,-3.181708153559638
2018-05-24,-2.465755870349736
2018-05-25,-2.4544447450980122
2018-05-28,-3.931261569910051
2018-05-29,-4.543790937313934
2018-05-30,-2.3740649737741317
2018-05-31,-4.508834567712118
2018-06-01,-3.9240508693292755
2018-06-04,-3.9944655302060594
2018-06-05,-3.9851392864282076
2018-06-06,-4.925367360611761
2018-06-07,0.1408890704365359
2018-06-08,-3.525934797833704
2018-06-11,-4.662810002690288
2018-06-12,-3.901303935697715
2018-06-13,-1.2101333417155125
2018-06-14,-0.8370977940488825
2018-06-15,-3.1970030624038
2018-06-19,-2.897717242620784
2018-06-20,-6.331536312882411
2018-06-21,-3.224882303942786
2018-06-22,-2.9239308265958885
2018-06-25,-3.4051080211325857
2018-06-26,-0.48441650488219334
2018-06-27,-1.2340541773244957
2018-06-28,-3.7651392292417873
2018-06-29,-4.16557480745769
2018-07-02,-0.6221665907561902
2018-07-03,-5.147460643308994
2018-07-04,-0.6348475992479382
2018-07-05,-3.7867094074965997
2018-07-06,-2.2816926659331207
2018-07-09,-2.5710529851542985
2018-07-10,-1.8590004283610493
2018-07-11,-2.1933165412137083
2018-07-12,-3.4997574660377855
2018-07-13,-2.754455478057745
2018-07-16,-1.9412941746511294
2018-07-17,-4.598986091601767
2018-07-18,-3.3354249956357855
2018-07-19,-1.8548268619437887
2018-07-20,-2.8172864405801046
2018-07-23,-4.989922209999687
2018-07-24,-1.5225680301881572
2018-07-25,-2.0373086179868793
2018-07-26,-1.5507157548962822
2018-07-27,-0.0011404140829724115
2018-07-30,-3.176834720060172
2018-07-31,-5.317060840109422
2018-08-01,-5.134676248203865
2018-08-02,-7.806389893776229
2018-08-03,-2.740319712953197
2018-08-06,-8.6469466489715
2018-08-07,-7.782695479108856
2018-08-08,-6.138684790430183
2018-08-09,-6.714846440614662
2018-08-10,-5.148894588154335
2018-08-13,-3.3788388079248097
2018-08-14,-1.9940630777925954
2018-08-15,-4.263275676743246
2018-08-16,-9.217598227180243
2018-08-17,-7.20469995320165
2018-08-20,-7.895585146273039
2018-08-21,-5.564973219141381
2018-08-22,-4.7362917583497435
2018-08-23,-3.624552967106777
2018-08-24,-6.82690920748785
2018-08-27,-7.411198779446878
2018-08-28,-5.656263580792227
2018-08-29,-3.457649046381133
2018-08-30,-4.359367116537828
2018-08-31,-5.466777906932796
2018-09-03,-7.912828932251976
2018-09-04,-5.36449503675762
2018-09-05,-7.935485416879569
2018-09-06,-7.6620272104022575
2018-09-07,-4.517209261662631
2018-09-10,-7.4372827728190805
