,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
IR,-1.3447361760132421,0.3812490319575716,0.12805273222013944,0.875039783107782,1.3163380323324936,3.250276385558816
SR,-2.029874865143747,0.6183629074819672,0.20300896706057156,1.458422255740248,2.3239017832755886,7.596891717869594
RTN,-40.021541370060596,5.461250465456644,-2.2923870857804616,20.157137235731312,30.235454437289008,31.432069195480096
STD,25.836710100297626,20.289686438988266,23.14564667732931,18.687125020726285,13.994379457196025,8.525397675795631
