,market_forward_return
20160523,-0.007729
20160524,-0.002332
20160525,0.002613
20160526,-0.000495
20160527,0.000498
20160530,0.033363
20160531,-0.001066
20160601,0.004023
20160602,0.004599
20160603,-0.00156
20160606,0.000664
20160607,-0.003027
20160608,-0.032143
20160613,0.003218
20160614,0.01584
20160615,-0.004985
20160616,0.004277
20160617,0.001284
20160620,-0.003549
20160621,0.009377
20160622,-0.004677
20160623,-0.013027
20160624,0.01451
20160627,0.00582
20160628,0.006535
20160629,-0.000677
20160630,0.00098
20160701,0.01914
20160704,0.005952
20160705,0.003626
20160706,-0.000147
20160707,-0.009531
20160708,0.002283
20160711,0.018185
20160712,0.003708
20160713,-0.00218
20160714,9.10E-05
20160715,-0.003514
20160718,-0.002289
20160719,-0.002864
20160720,0.003669
20160721,-0.008619
20160722,0.001
20160725,0.011386
20160726,-0.01907
20160727,0.000777
20160728,-0.005004
20160729,-0.008711
20160801,0.006059
20160802,0.002417
20160803,0.001331
20160804,-0.001921
20160805,0.009266
20160808,0.007125
20160809,-0.002292
20160810,-0.005336
20160811,0.015996
20160812,0.02443
20160815,-0.00485
20160816,-0.000155
20160817,-0.00175
20160818,0.001285
20160819,-0.007496
20160822,0.001589
20160823,-0.001238
20160824,-0.005688
20160825,0.000645
20160826,-9.20E-05
20160829,0.001515
20160830,0.003517
20160831,-0.00719
20160901,0.001321
20160902,0.001546
20160905,0.00606
20160906,0.000393
20160907,0.001302
20160908,-0.005523
20160909,-0.018474
20160912,0.000507
20160913,-0.006833
20160914,0.007727
20160919,-0.001008
20160920,0.000951
20160921,0.005433
20160922,-0.002767
20160923,-0.017623
20160926,0.005953
20160927,-0.00344
20160928,0.003556
20160929,0.002074
20160930,0.014457
20161010,0.005612
20161011,-0.002203
20161012,0.000931
20161013,0.000805
20161014,-0.00739
20161017,0.014044
20161018,0.000274
20161019,-8.50E-05
20161020,0.002102
20161021,0.012069
20161024,0.00118
20161025,-0.00499
20161026,-0.001271
20161027,-0.002596
20161028,-0.001217
20161031,0.007078
20161101,-0.00631
20161102,0.008445
20161103,-0.001157
20161104,0.002565
20161107,0.004645
20161108,-0.0062
20161109,0.013717
20161110,0.007808
20161111,0.004483
20161114,-0.001054
20161115,-0.000601
20161116,0.00106
20161117,-0.004861
20161118,0.007921
20161121,0.009386
20161122,-0.002221
20161123,0.000185
20161124,0.006232
20161125,0.004618
20161128,0.001808
20161129,-0.010019
20161130,0.007161
20161201,-0.009002
20161202,-0.012064
20161205,-0.00158
20161206,0.007062
20161207,-0.002134
20161208,0.005448
20161209,-0.024719
20161212,0.000656
20161213,-0.004598
20161214,-0.007277
20161215,0.001702
20161216,-0.001568
20161219,-0.004878
20161220,0.011136
20161221,0.000678
20161222,-0.009366
20161223,0.003992
20161226,-0.002532
20161227,-0.00399
20161228,-0.001979
20161229,0.002435
20161230,0.010402
20170103,0.007294
20170104,0.002095
20170105,-0.003503
20170106,0.005363
20170109,-0.003016
20170110,-0.007881
20170111,-0.005568
20170112,-0.002092
20170113,-0.002999
20170116,0.001723
20170117,0.001363
20170118,-0.003763
20170119,0.007042
20170120,0.004366
20170123,0.001842
20170124,0.002228
20170125,0.003052
20170126,-0.006013
20170203,0.005354
20170206,-0.001234
20170207,0.004406
20170208,0.005115
20170209,0.004247
20170210,0.0063
20170213,0.000338
20170214,-0.001536
20170215,0.005177
20170216,-0.008528
20170217,0.011832
20170220,0.004125
20170221,0.002426
20170222,-0.003018
20170223,0.000633
20170224,-0.007614
20170227,0.004049
20170228,0.001604
20170301,-0.005207
20170302,-0.003627
20170303,0.004833
20170306,0.002641
20170307,-0.000537
20170308,-0.007381
20170309,-0.001239
20170310,0.007552
20170313,0.000712
20170314,0.000751
20170315,0.008383
20170316,-0.009633
20170317,0.004127
20170320,0.003323
20170321,-0.005025
20170322,0.001026
20170323,0.006432
20170324,-0.000762
20170327,-0.004288
20170328,-0.003576
20170329,-0.009588
20170330,0.003824
20170331,0.01483
20170405,0.003272
20170406,0.00171
20170407,-0.00524
20170410,0.005987
20170411,-0.004602
20170412,0.000651
20170413,-0.009125
20170414,-0.007363
20170417,-0.0079
20170418,-0.008142
20170419,0.000446
20170420,0.000331
20170421,-0.013747
20170424,0.001609
20170425,0.002003
20170426,0.00361
20170427,0.000784
20170428,-0.00347
20170502,-0.002661
20170503,-0.002544
20170504,-0.00778
20170505,-0.007871
20170508,0.000622
20170509,-0.009006
20170510,0.002855
20170511,0.00719
20170512,0.002178
20170515,0.007357
20170516,-0.002738
20170517,-0.004607
20170518,0.000159
20170519,-0.004839
20170522,-0.004464
20170523,0.000695
20170524,0.01428
20170525,0.000717
20170526,0.002289
20170531,-0.004669
20170601,0.00094
20170602,-0.004471
20170605,0.003387
20170606,0.012314
20170607,0.003187
20170608,0.002561
20170609,-0.005865
20170612,0.004416
20170613,-0.007315
20170614,0.000579
20170615,-0.002975
20170616,0.00679
20170619,-0.001387
20170620,0.005159
20170621,-0.002775
20170622,0.003311
20170623,0.008731
20170626,0.001806
20170627,-0.005639
20170628,0.004683
20170629,0.001369
20170630,0.001092
20170703,-0.004101
20170704,0.007644
20170705,0.001656
20170706,0.001716
20170707,-0.001655
20170710,-0.002986
20170711,-0.001715
20170712,0.006448
20170713,0.001322
20170714,-0.01426
20170717,0.003495
20170718,0.013618
20170719,0.004299
20170720,-0.002121
20170721,0.003897
20170724,-0.002126
20170725,0.001229
20170726,0.000649
20170727,0.001064
20170728,0.006083
20170731,0.005991
20170801,-0.002303
20170802,-0.003692
20170803,-0.003314
20170804,0.005327
20170807,0.000737
20170808,-0.00192
20170809,-0.00422
20170810,-0.016313
20170811,0.008982
20170814,0.004294
20170815,-0.00148
20170816,0.00677
20170817,9.00E-05
20170818,0.005562
20170821,0.00101
20170822,-0.000766
